A,B,C,figure
-70.59706991016591,-45.808048302810754,7.141073154205671,1
31.412879477206303,11.708994612506856,1.0911173785834962,2
-69.01822235057887,-6.7436079980050465,21.710639911541918,1
-95.14083805753005,19.74966377452742,-1.0249258551071005,2
74.49848544588971,94.21253044589253,54.56056996599429,0
-11.404011067746396,10.425718280920108,-73.23879435544191,0
85.1948925560975,80.74381017282727,-23.6607580062594,1
-4.4793718013175265,67.54181402123095,39.01193797037641,1
-50.69067942976999,-92.80004132232362,-42.47254015087901,2
66.03841915343725,-2.987243812356425,16.863810582756173,0
73.73641879958473,68.87460464023752,25.90070295493487,0
18.257481115889405,49.98954307863269,-63.46638346474238,1
-75.85603197462586,-83.79513972234345,33.05915533013322,1
15.57171316439235,-82.8172420823073,-36.594182863192806,1
-5.373180209704785,1.3564344971516817,-0.08560640408728377,2
67.58336225740052,99.49863206633819,36.62135713730517,2
-29.160560819905342,89.8188831485372,-69.16389417092122,2
-95.4391063836726,85.40259676349734,-19.10538512543191,2
-2.2880192929046785,-70.99431570224849,-550.7157301580178,2
46.333104330524264,-97.61615176053735,79.14798250386167,0
-78.2076804640701,51.33461550917937,-35.714051584885524,0
-14.917383663039516,-68.17937345061958,-77.90285262348583,2
-34.71602873808311,-12.763713633648322,1.1697250300980926,1
-34.929719462663016,-96.65667431966203,63.611622057255715,1
-28.069030774158804,18.735855420437474,-31.177643325430566,0
-58.204943561926115,-4.1764064557666245,-0.07491790995902108,2
-35.55966422205768,-50.70618945339314,-82.0982143526889,0
-47.38899268962871,88.27279210491633,-98.59465984291072,0
74.99515053739944,90.95851818035027,-65.42604716076411,1
98.03200938613523,18.92000856576385,44.102846857642646,0
95.80527341033707,-65.35882672477558,88.05863874392031,0
92.14176775258736,-65.91202759225607,68.62957802771987,0
-77.48315391743091,8.97028623516735,68.07975859290985,1
-93.38248375218652,16.63436667014588,-0.7407763838536295,2
62.810060954206136,70.29483788440493,38.29276365184907,0
82.29798969682415,24.586381419450348,1.8362846818299026,2
90.14028404362986,-42.74662783625307,-34.683108141564105,1
31.393259547839932,-67.72711238440085,-76.4032581721154,1
17.15298695053302,41.18322564086088,-37.14752977526754,1
59.475926154313925,-34.15429494785039,-31.381092130848543,1
-8.978203322173627,53.20055564850557,-78.81028697355568,2
58.37820590120131,48.43333731110931,10.045650285406518,2
24.641303914009043,-52.29059678385821,90.9613340953243,0
-92.94788304383546,-7.213069534327076,-53.558379341288486,0
-36.39572436023371,-2.4591690947184333,-62.97497468700364,0
-88.1610203245977,-82.56588237896642,-42.634018342789034,0
97.92422418293026,-24.39766985228364,11.372061373117504,0
-56.88581394679457,56.264679791708744,-13.912581944526705,2
-1.0992349552732463,18.87018107916083,-80.98444564833834,2
-30.776415658772876,13.067081861302768,5.148507613882103,1
74.90114587706708,-8.088984020596214,78.31503969510948,0
-9.523638449527127,80.30038656618211,-169.26703268010053,2
-79.01546465714182,-62.7760914233975,-20.44641702682391,0
50.42700516893015,50.56725887699787,12.676975668925936,2
-72.55820827981734,-56.10181136086376,-24.133026453985835,0
24.180027949886536,18.679233118533304,-72.60583310774405,1
13.104634825809697,31.258507375189282,92.09169523262906,0
-32.929003479523985,-58.57784710521543,-45.80781638137461,0
98.98765472983504,2.104648113206494,0.011187111394125654,2
-36.83714946494867,48.48937671872528,-37.42843569054064,0
-48.818302576855686,13.823073308908988,-54.65506033883578,0
36.53824248570851,84.88572882091955,49.30168001565121,2
74.90202081640888,-5.0680933539074715,26.930202603844492,0
-8.19324058022353,-93.84575614131367,-268.72840665123726,2
-34.22972196671117,80.24276105552741,79.5075672669235,1
22.276170034314617,66.45185564742715,49.5579930502443,2
-49.7605552815219,-21.510251914970354,-83.71053742351677,0
-20.092511825653773,99.80944793668581,-123.95072830947373,2
-80.42696251435672,40.049006123596286,-4.985650462683899,2
-14.226760570173113,-79.0034350847054,-20.358117989750312,1
-49.952980502234404,16.412081467159467,-2.317526310318158,0
-7.503441016868194,7.5620269934347135,-29.00089318756764,0
67.83629444736778,-78.10367640345768,22.481270230897525,2
-59.437687668862324,-44.41296154775536,-8.296550685280685,2
83.72339901289311,-69.12714556618884,14.268897077963773,2
-5.100990938616363,-22.39342088231504,58.89174719821827,1
-29.731018687880308,47.8624289593086,-16.692041036360123,1
76.34129844271445,-94.22770129046816,29.076200796965352,2
76.25581942385364,-32.549049878626434,95.90697318415835,0
7.212059870648702,3.441607123624493,93.36905128016369,0
30.626318158652822,84.63931599151405,15.139626426499461,1
77.03511870722406,34.20864359807558,50.16090158184471,0
-35.39608076617647,50.55866253647844,-18.05410586530333,2
-69.18872302855002,71.97069432071689,74.33797599750224,1
59.968896157322945,4.640156265799163,41.01272838601352,0
50.74710982643518,-60.36407481264179,17.950882032734384,2
-7.276223391547276,97.10590744607771,1.416444923565635,1
5.7588007962819745,22.070451298000023,21.146104793721896,2
-25.25834581308159,4.396326694451602,-0.19130002165796736,2
30.08042887436838,-74.00231158670616,45.51416257268153,2
92.45509207138218,70.5033156848543,3.183561588430692,1
31.53821891162957,28.39701263401497,45.85916850627376,0
97.22487290053098,-99.72263561104356,25.571141819303577,2
18.5727985365737,-87.01142589562151,46.6017293910611,1
18.44102055509947,92.02626572251299,53.85363873998051,1
10.62235868668104,-21.140677605512764,10.518573670945013,2
-89.62395517123811,22.690876169241463,-1.4362116142501005,2
-26.86788708697445,-80.86493339287777,-66.09665792592139,0
75.88087965898706,29.312741902006024,2.8308740017085943,2
27.95807876974878,-23.846660584673643,17.301049318133238,0
91.88795557347862,22.548332962668056,65.8376482479645,0
-10.373893219368455,-52.429667312750496,-75.85394300395743,0
37.06416549060805,-18.465882122343785,-88.62559205311284,1
-4.455599959748085,2.674467843032204,-68.25542391064631,0
5.088192762428179,-44.74161153385907,-61.12817474325334,1
-78.02578062146873,-23.85811384435756,43.60514438752861,1
-57.53327087720868,90.59752339731938,75.69250804713559,1
24.645084396447814,16.374771324047984,2.7199454017036273,2
18.067559455068306,82.9312233958355,95.1648703721392,2
-43.02231091168234,64.82380327393184,-24.41829240370004,2
51.18448631285065,-84.43861564773066,-13.104682960360421,1
-99.17163111834428,-54.260784491202244,-59.79215033748528,0
43.60716370635501,21.2686747095741,35.53664423227312,0
5.57413690645177,14.720958070186512,9.71928973673767,2
-2.8272052273232475,95.93086266538984,-813.7656865857315,2
6.381611263586365,67.15769178404125,66.18617547866376,1
9.008007637096057,-60.340525051415675,-86.26721731301068,1
-63.350266537556706,-80.98836219278304,-25.88432207613874,2
-80.68383263647243,70.8028975290135,-32.43994526680798,0
-95.28355325450826,63.70736141589032,-10.648815456467142,2
92.94753498155254,62.45920613937855,84.89400339132831,0
25.335089846086618,-46.74205956145965,-58.27209600716139,1
59.88905040889679,-84.49880317712892,72.01464563778111,0
61.88303913989367,-33.14617201235622,77.98437660518249,0
92.68308585221646,75.21913827987467,15.261465216502609,2
10.174558606723608,2.4821679106163685,-24.608400786832746,1
-86.67223767251323,-6.0140155176001,-36.896468524624495,0
-7.9342529531157595,-25.31292966696806,52.83656115152547,1
-89.30449934914381,48.10776007051268,28.65286874719203,1
52.551213960887964,8.609790369037086,0.3526488001491983,2
-92.0770557894725,-63.53790136713773,-17.51209823126021,0
23.17805621934255,-52.955825876613474,29.226371296544386,1
81.19257452674492,89.50515823192896,-4.0500110153265325,1
24.714434317766518,70.04820240226869,-65.29567960984656,1
-25.46291014395746,-78.3788318796338,-60.31558502233627,2
-76.10745439470094,93.26744287989757,-40.83490368466081,0
90.61229949829675,77.52849095398545,24.732541718709783,0
-76.17191334327396,38.61324040375467,-4.893478019118865,2
73.19560497980686,-55.17519697085385,10.397831815217522,2
68.98978333587513,28.97618483395337,-65.63065334199518,1
20.242024306737804,93.79707485132934,4.928727544055576,1
